name,description,sku,country,category,type,price,quantity,image,volume
Caymus Cabernet 2014,"Wine Advocate-Napa, CA- ""A dense opaque purple color, a kiss of blackberry and cassis fruit, a full-bodied mouthfeel with ripe tannin and a long finish. It is very Caymus in its immediate accessibility, but has plenty of staying power and depth. This is lush, full, intense and pure.""",7584,USA,Cabernet Sauvignon,Red Wine,78.99,12,7584.jpg,750ml
J Lohr Cabernet Seven Oaks,Our popular J. Lohr Estates Seven Oaks Cabernet Sauvignon has become almost synonymous with the rich cherry and black currant flavors of the region,3435573,USA,Cabernet Sauvignon,Red Wine,9.99,12,3435573.jpg,750ml
Josh Cellars Cabernet,"Rich, aromatic dark fruits delight the nose, yielding fresh plum and blackberry fruit, vanilla bean and Chinese Five-Spice. The wine is juicy with the plum and blackberry flavors prominent, layered with smoky and sappy maple wood,, finishing long with fine, firm tannins. Winemaker Notes",17313,USA,Cabernet Sauvignon,Red Wine,12.99,12,17313.jpg,750ml
Rodney Strong Cabernet Sonoma,"A deep, saturated color leads to lifted aromas of blackberry, cocoa and herby black-currant, which is followed by a rich, layered mouthfeel, loaded with juicy black cherry, cedar, and creme de cassis. This wine is also elegantly structured with fresh acidity and ripe, mature tannins. Enjoy this vibrant Cabernet Sauvignon now and over the next several years.",63470453,USA,Cabernet Sauvignon,Red Wine,15.99,12,63470453.jpg,750ml
14 Hands Cabernet Sauvignon,"A light and juicy red, this is fresh and appealing, with currant and floral flavors, echoing gently on the finish",63468054,USA,Cabernet Sauvignon,Red Wine,11.99,12,63468054.jpg,750ml
Joel Gott Cabernet,"The Joel Gott 815 California Cabernet Sauvignon is ripe with blueberry, cherry soda, and dark cherry. The aromas burst with violet, vanilla, cedar, chocolate and cinnamon spice. Soft ripe tannins result in a balanced and long velvety finish.",9990,USA,Cabernet Sauvignon,Red Wine,13.99,12,9990.jpg,750ml
Coppola Diamond Claret,"Claret is a Cabernet Sauvingnon-based wines, blended in the classic Bordeaux style, that exhibits exceptional depth and texture with truly unique flavors. our claret bottle is distinguished with gold netting, a tribute to the way Europe's finest wines were once presented.",63525040,USA,Cabernet Sauvignon,Red Wine,16.99,12,63525040.jpg,750ml
Decoy Cabernet,"An affordable Napa Vallay Cabernet from one of California's iconic estates, Duckhorn Vineyards. Just a notch below its big brother but signifcantly less expensive.",12945,USA,Cabernet Sauvignon,Red Wine,22.99,12,12945.jpg,750ml
Woodbridge Mondavi Cabernet,N/A,54210,USA,Cabernet Sauvignon,Red Wine,11.99,12,54210.jpg,750ml
Bogle Cabernet,"Cabernet Sauvignon is a grape that takes its own sweet time, slowly lingering to ripen on the vine. We are rewarded by its reluctance. Dense, concentrated and full-bodied, this Cabernet leads with notes of dark cherry and plums. This deeply extracted fruit wraps the palate in richness, followed with touches of pipe tobacco, new leather and dark chocolate.",5756,USA,Cabernet Sauvignon,Red Wine,9.99,12,5756.jpg,750ml
Duckhorn Cabernet Napa,"Both generous and graceful, this is a lovely expression of Napa Valley Cabernet Sauvignon with aromas of black raspberry, red currant, vanilla bean and milk chocolate. One the palate, firm yet supple tannins add weight and structure, supporting layers of plum, raspberry and cinnamon spice.",21505,USA,Cabernet Sauvignon,Red Wine,65.99,12,21505.jpg,750ml
Simi Cabernet Alexander Valley,"Wild berries, ripe plums and sweet oak mingle with approachable, forward tannins in our richly styled Alexander Valley Cabernet Sauvignon",54830,USA,Cabernet Sauvignon,Red Wine,16.99,12,54830.jpg,750ml
